case_id,root_service,fault_type,service_family,budget,policy,avg_at_5,top1,top3,top5
dbservice1_memory_1627773523,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_errno111_1626750601,dbservice2,errno111,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_errno111_1626750797,dbservice2,errno111,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625144096,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625152223,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625193002,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625257548,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625269953,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625356783,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625363058,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625459089,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625463515,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625564139,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625579430,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625587157,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625634388,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625656892,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625669580,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625704892,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625711897,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625720058,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625780540,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1625944726,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625953237,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1625981739,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1625988716,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626043439,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1626053581,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626066255,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626095808,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626127184,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626130474,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626157165,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1626243122,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1626298216,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626317541,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
