dataset,budget,policy,cases,delta_avg5,ci95_low,ci95_high,wins,losses,ties
RE2-TT,0.5,hybrid_abnormality_latency,90,-0.007555555555555556,-0.016444444444444446,5.5555555555263535e-06,4,7,79
RE2-TT,0.5,late_window,90,-0.005333333333333336,-0.018005555555555556,0.006005555555555524,4,7,79
RE2-TT,0.5,latency_service_diversity,90,-0.0008888888888888906,-0.005777777777777777,0.0033333333333333314,5,5,80
RE2-TT,0.5,latency_topk,90,-0.0008888888888888906,-0.005777777777777782,0.0033333333333333327,5,5,80
RE2-TT,0.5,service_aware_abnormality,90,-0.005333333333333334,-0.013999999999999997,0.0011111111111111072,4,6,80
RE2-TT,1.0,abnormality_service_diversity,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,abnormality_topk,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,coverage_aware,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,early_window,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,hybrid_abnormality_latency,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,late_window,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,latency_service_diversity,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,latency_topk,90,0.0,0.0,0.0,0,0,90
RE2-TT,1.0,service_aware_abnormality,90,0.0,0.0,0.0,0,0,90
