policy,dataset,fault,budget,cases,top1,top3,top5,avg5,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
abnormality_service_diversity,RE2-OB,disk,1.0,15,0.2,0.8,1.0,0.7066666666666667,0.0,0.0,0.0
abnormality_service_diversity,RE2-OB,loss,0.05,15,0.06666666666666667,0.4,0.8,0.48000000000000004,0.42015698407821406,0.9500024201686028,0.9128573161308221
abnormality_service_diversity,RE2-OB,loss,0.1,15,0.06666666666666667,0.4,0.8,0.4666666666666667,0.39804119697620793,0.9000021201374951,0.8323288544425103
abnormality_service_diversity,RE2-OB,loss,0.25,15,0.2,0.4,0.8666666666666667,0.5066666666666667,0.3316927272598941,0.7499890707731662,0.5712175207433757
abnormality_service_diversity,RE2-OB,loss,0.5,15,0.2,0.4666666666666667,0.8666666666666667,0.52,0.22112904420293583,0.4999765302531787,0.20906001621770562
abnormality_service_diversity,RE2-OB,loss,1.0,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335,0.0,0.0,0.0
abnormality_service_diversity,RE2-OB,mem,0.05,15,0.0,0.5333333333333333,1.0,0.6,0.43745394936456433,0.9499976642716649,0.9164448548569218
abnormality_service_diversity,RE2-OB,mem,0.1,15,0.0,0.4666666666666667,1.0,0.56,0.414432567199911,0.9000121309832901,0.8368476876461901
abnormality_service_diversity,RE2-OB,mem,0.25,15,0.0,0.5333333333333333,1.0,0.5733333333333334,0.3453525865556123,0.7499949915623504,0.6000824512780236
abnormality_service_diversity,RE2-OB,mem,0.5,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.23023061629453093,0.49998970915784186,0.23603617530018658
abnormality_service_diversity,RE2-OB,mem,1.0,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.0,0.0,0.0
abnormality_service_diversity,RE2-OB,socket,0.05,15,0.06666666666666667,0.6,1.0,0.6266666666666667,0.46083282710236567,0.9499993448994547,0.9196261654683409
abnormality_service_diversity,RE2-OB,socket,0.1,15,0.06666666666666667,0.5333333333333333,1.0,0.6,0.43658295987581563,0.9000037671913605,0.8406403522580218
abnormality_service_diversity,RE2-OB,socket,0.25,15,0.06666666666666667,0.6666666666666666,0.9333333333333333,0.6,0.3638355267955895,0.7499970107243595,0.6012993877214001
abnormality_service_diversity,RE2-OB,socket,0.5,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.2425608304168315,0.49999952464764313,0.246646770721298
abnormality_service_diversity,RE2-OB,socket,1.0,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,cpu,0.05,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.46734499415223113,0.9499857158990699,0.8538484798233882
abnormality_service_diversity,RE2-TT,cpu,0.1,15,0.8,0.9333333333333333,1.0,0.9333333333333333,0.44275436155024117,0.9000126232134942,0.7511917858207201
abnormality_service_diversity,RE2-TT,cpu,0.25,15,0.8,1.0,1.0,0.9600000000000001,0.3689438479515786,0.7499891483503079,0.48813530298410324
abnormality_service_diversity,RE2-TT,cpu,0.5,15,0.8666666666666667,1.0,1.0,0.9733333333333333,0.24596205419638645,0.4999586973230003,0.16281585559306416
abnormality_service_diversity,RE2-TT,cpu,1.0,15,0.8666666666666667,1.0,1.0,0.9733333333333333,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,delay,0.05,15,1.0,1.0,1.0,1.0,0.41541160558761553,0.9500610489873939,0.8998143822861217
abnormality_service_diversity,RE2-TT,delay,0.1,15,1.0,1.0,1.0,1.0,0.39353525767429437,0.9000547468054313,0.8434452336748703
abnormality_service_diversity,RE2-TT,delay,0.25,15,1.0,1.0,1.0,1.0,0.32789651046027757,0.7499813424704256,0.6524645626248443
abnormality_service_diversity,RE2-TT,delay,0.5,15,1.0,1.0,1.0,1.0,0.21860282749286405,0.49998345166976527,0.2536353707801562
abnormality_service_diversity,RE2-TT,delay,1.0,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,disk,0.05,15,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.88,0.47101272235690445,0.9499587111228874,0.8781755761238301
abnormality_service_diversity,RE2-TT,disk,0.1,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.4462556468791406,0.9000199757412326,0.7852576055243208
abnormality_service_diversity,RE2-TT,disk,0.25,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.37183215890184257,0.7499376960938203,0.5632631872259772
abnormality_service_diversity,RE2-TT,disk,0.5,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.247894371369029,0.49993718573449236,0.27105843506614374
abnormality_service_diversity,RE2-TT,disk,1.0,15,0.8,0.9333333333333333,1.0,0.92,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,loss,0.05,15,0.6666666666666666,0.8,1.0,0.7866666666666667,0.4602355885859936,0.9500202835135776,0.8875303413434481
abnormality_service_diversity,RE2-TT,loss,0.1,15,0.7333333333333333,0.8,0.8666666666666667,0.8133333333333332,0.4359903406260776,0.899977018896245,0.780431496496955
abnormality_service_diversity,RE2-TT,loss,0.25,15,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.8266666666666667,0.363321306441782,0.7499961472538935,0.4944775701890765
abnormality_service_diversity,RE2-TT,loss,0.5,15,0.8,0.8666666666666667,1.0,0.9066666666666666,0.2422608539870693,0.4999729335332563,0.17076945255636852
abnormality_service_diversity,RE2-TT,loss,1.0,15,0.8,1.0,1.0,0.9333333333333333,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,mem,0.05,15,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.8533333333333334,0.46607175216895147,0.9500013792619981,0.8775865946708875
abnormality_service_diversity,RE2-TT,mem,0.1,15,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.8533333333333334,0.4415288859867413,0.9000031625287218,0.7691552335757511
abnormality_service_diversity,RE2-TT,mem,0.25,15,0.6666666666666666,1.0,1.0,0.92,0.36789757490228775,0.7500045009253458,0.4974949939519913
abnormality_service_diversity,RE2-TT,mem,0.5,15,0.8,1.0,1.0,0.9600000000000001,0.24527586878718644,0.5000091381236504,0.15864520933680432
abnormality_service_diversity,RE2-TT,mem,1.0,15,0.8,1.0,1.0,0.9600000000000001,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,socket,0.05,15,0.6,1.0,1.0,0.92,0.49735481351350913,0.9499946754471509,0.9023938685239316
abnormality_service_diversity,RE2-TT,socket,0.1,15,0.6666666666666666,1.0,1.0,0.9333333333333333,0.47118698890497807,0.900006901126177,0.7906479866224109
abnormality_service_diversity,RE2-TT,socket,0.25,15,0.7333333333333333,1.0,1.0,0.9466666666666667,0.39265744199380426,0.750030890542239,0.553844202205995
abnormality_service_diversity,RE2-TT,socket,0.5,15,0.7333333333333333,1.0,1.0,0.9466666666666667,0.2617843119812628,0.49999949940370725,0.22286609262327303
abnormality_service_diversity,RE2-TT,socket,1.0,15,0.7333333333333333,1.0,1.0,0.9466666666666667,0.0,0.0,0.0
abnormality_topk,RE2-OB,cpu,0.05,15,0.0,0.8,1.0,0.68,0.44302571996203344,0.9499860703974149,0.9157611797292363
abnormality_topk,RE2-OB,cpu,0.1,15,0.06666666666666667,0.7333333333333333,1.0,0.68,0.41970633623060755,0.899966773818713,0.8365827556610193
abnormality_topk,RE2-OB,cpu,0.25,15,0.06666666666666667,0.7333333333333333,1.0,0.68,0.34975074456703564,0.7500213178002959,0.6031413945097486
abnormality_topk,RE2-OB,cpu,0.5,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23316700329354717,0.5000369194928596,0.23864374522295675
abnormality_topk,RE2-OB,cpu,1.0,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0,0.0
abnormality_topk,RE2-OB,delay,0.05,15,0.2,0.6,0.8666666666666667,0.6133333333333334,0.45551261406103266,0.9499959492070775,0.9104984082053011
abnormality_topk,RE2-OB,delay,0.1,15,0.2,0.6,0.8666666666666667,0.5866666666666667,0.4315430194212027,0.9000099911545482,0.8386136514812321
abnormality_topk,RE2-OB,delay,0.25,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.35961687631139083,0.7499977109071058,0.6090929398812105
abnormality_topk,RE2-OB,delay,0.5,15,0.2,0.4,0.9333333333333333,0.56,0.2397377621188352,0.5000012398733285,0.24738375633242182
abnormality_topk,RE2-OB,delay,1.0,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0,0.0
abnormality_topk,RE2-OB,disk,0.05,15,0.0,0.7333333333333333,1.0,0.6666666666666666,0.4653069930822955,0.949996731468197,0.916559645477401
abnormality_topk,RE2-OB,disk,0.1,15,0.06666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.44081811950486843,0.8999979390068594,0.8382610544324034
abnormality_topk,RE2-OB,disk,0.25,15,0.2,0.8,1.0,0.7066666666666667,0.3673546545168708,0.7500036099896878,0.6023118736674339
abnormality_topk,RE2-OB,disk,0.5,15,0.2,0.8,1.0,0.7200000000000001,0.24490548392511452,0.500001524894234,0.24861641555919783
abnormality_topk,RE2-OB,disk,1.0,15,0.2,0.8,1.0,0.7066666666666667,0.0,0.0,0.0
abnormality_topk,RE2-OB,loss,0.05,15,0.06666666666666667,0.4,0.8,0.48000000000000004,0.42015698407821406,0.9500024201686028,0.9079422118437214
abnormality_topk,RE2-OB,loss,0.1,15,0.06666666666666667,0.4,0.8,0.4666666666666667,0.39804119697620793,0.9000021201374951,0.8279301258048392
abnormality_topk,RE2-OB,loss,0.25,15,0.2,0.4,0.8666666666666667,0.5066666666666667,0.3316927272598941,0.7499890707731662,0.5692947235609077
