dataset,budget,policy,avg5,avg5_random,delta_vs_random
RE2-OB,1.0,early_window,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,late_window,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,latency_service_diversity,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,abnormality_service_diversity,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,coverage_aware,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,hybrid_abnormality_latency,0.6244444444444445,0.6244444444444445,0.0
RE2-TT,0.05,random,0.9502222222222222,0.9502222222222222,0.0
RE2-TT,0.05,latency_topk,0.9022222222222223,0.9502222222222222,-0.04799999999999993
RE2-TT,0.05,abnormality_topk,0.7822222222222223,0.9502222222222222,-0.16799999999999993
RE2-TT,0.05,service_aware_abnormality,0.8911111111111112,0.9502222222222222,-0.059111111111111
RE2-TT,0.05,early_window,0.9333333333333333,0.9502222222222222,-0.016888888888888842
RE2-TT,0.05,late_window,0.9333333333333333,0.9502222222222222,-0.016888888888888842
RE2-TT,0.05,latency_service_diversity,0.8977777777777778,0.9502222222222222,-0.052444444444444405
RE2-TT,0.05,abnormality_service_diversity,0.8911111111111112,0.9502222222222222,-0.059111111111111
RE2-TT,0.05,coverage_aware,0.6844444444444444,0.9502222222222222,-0.2657777777777778
RE2-TT,0.05,hybrid_abnormality_latency,0.8955555555555554,0.9502222222222222,-0.05466666666666675
RE2-TT,0.1,random,0.9553333333333334,0.9553333333333334,0.0
RE2-TT,0.1,latency_topk,0.9222222222222223,0.9553333333333334,-0.03311111111111109
RE2-TT,0.1,abnormality_topk,0.8266666666666668,0.9553333333333334,-0.1286666666666666
RE2-TT,0.1,service_aware_abnormality,0.9088888888888889,0.9553333333333334,-0.04644444444444451
RE2-TT,0.1,early_window,0.9244444444444445,0.9553333333333334,-0.030888888888888855
RE2-TT,0.1,late_window,0.9377777777777778,0.9553333333333334,-0.017555555555555546
RE2-TT,0.1,latency_service_diversity,0.9244444444444445,0.9553333333333334,-0.030888888888888855
RE2-TT,0.1,abnormality_service_diversity,0.9066666666666666,0.9553333333333334,-0.04866666666666675
RE2-TT,0.1,coverage_aware,0.6955555555555556,0.9553333333333334,-0.2597777777777778
RE2-TT,0.1,hybrid_abnormality_latency,0.9044444444444445,0.9553333333333334,-0.05088888888888887
RE2-TT,0.25,random,0.9564444444444444,0.9564444444444444,0.0
RE2-TT,0.25,latency_topk,0.9444444444444444,0.9564444444444444,-0.01200000000000001
RE2-TT,0.25,abnormality_topk,0.8866666666666666,0.9564444444444444,-0.06977777777777783
RE2-TT,0.25,service_aware_abnormality,0.9288888888888889,0.9564444444444444,-0.027555555555555555
RE2-TT,0.25,early_window,0.9333333333333333,0.9564444444444444,-0.023111111111111082
RE2-TT,0.25,late_window,0.9577777777777778,0.9564444444444444,0.0013333333333334085
RE2-TT,0.25,latency_service_diversity,0.9466666666666667,0.9564444444444444,-0.009777777777777774
RE2-TT,0.25,abnormality_service_diversity,0.9266666666666667,0.9564444444444444,-0.02977777777777768
RE2-TT,0.25,coverage_aware,0.6955555555555556,0.9564444444444444,-0.26088888888888884
RE2-TT,0.25,hybrid_abnormality_latency,0.9355555555555556,0.9564444444444444,-0.020888888888888846
RE2-TT,0.5,random,0.9542222222222222,0.9542222222222222,0.0
RE2-TT,0.5,latency_topk,0.9533333333333333,0.9542222222222222,-0.000888888888888939
RE2-TT,0.5,abnormality_topk,0.948888888888889,0.9542222222222222,-0.00533333333333319
RE2-TT,0.5,service_aware_abnormality,0.948888888888889,0.9542222222222222,-0.00533333333333319
RE2-TT,0.5,early_window,0.9422222222222222,0.9542222222222222,-0.01200000000000001
RE2-TT,0.5,late_window,0.948888888888889,0.9542222222222222,-0.00533333333333319
RE2-TT,0.5,latency_service_diversity,0.9533333333333333,0.9542222222222222,-0.000888888888888939
RE2-TT,0.5,abnormality_service_diversity,0.948888888888889,0.9542222222222222,-0.00533333333333319
RE2-TT,0.5,coverage_aware,0.7622222222222221,0.9542222222222222,-0.19200000000000006
RE2-TT,0.5,hybrid_abnormality_latency,0.9466666666666667,0.9542222222222222,-0.007555555555555538
RE2-TT,1.0,random,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,latency_topk,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,abnormality_topk,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,service_aware_abnormality,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,early_window,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,late_window,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,latency_service_diversity,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,abnormality_service_diversity,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,coverage_aware,0.9555555555555556,0.9555555555555556,0.0
RE2-TT,1.0,hybrid_abnormality_latency,0.9555555555555556,0.9555555555555556,0.0
