dataset,service,fault,instance,budget,policy,avg5_case_policy,top1_case_policy,top3_case_policy,top5_case_policy,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
RE2-OB,checkoutservice,cpu,2,0.1,latency_topk,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.821501014198783
RE2-OB,checkoutservice,cpu,2,0.1,random,0.8400000000000001,0.5,1.0,1.0,0.04821734519050336,0.8995433789954339,0.8953346855983773
RE2-OB,checkoutservice,cpu,2,0.1,service_aware_abnormality,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.8498063802323437
RE2-OB,checkoutservice,cpu,2,0.25,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.6211506546192145
RE2-OB,checkoutservice,cpu,2,0.25,abnormality_topk,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.6122072653512816
RE2-OB,checkoutservice,cpu,2,0.25,coverage_aware,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.5810437027475567
RE2-OB,checkoutservice,cpu,2,0.25,early_window,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.7431311082426701
RE2-OB,checkoutservice,cpu,2,0.25,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.6105476673427992
RE2-OB,checkoutservice,cpu,2,0.25,late_window,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.7588972893232528
RE2-OB,checkoutservice,cpu,2,0.25,latency_service_diversity,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.6131292642448829
RE2-OB,checkoutservice,cpu,2,0.25,latency_topk,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.6068596717683938
RE2-OB,checkoutservice,cpu,2,0.25,random,0.86,0.3,1.0,1.0,0.04022191400832176,0.7503805175038052,0.7463857643370828
RE2-OB,checkoutservice,cpu,2,0.25,service_aware_abnormality,0.8,0.0,1.0,1.0,0.04022191400832176,0.7503805175038052,0.6122072653512816
RE2-OB,checkoutservice,cpu,2,0.5,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.26701087958694447
RE2-OB,checkoutservice,cpu,2,0.5,abnormality_topk,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.26166328600405675
RE2-OB,checkoutservice,cpu,2,0.5,coverage_aware,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.2300387239535313
RE2-OB,checkoutservice,cpu,2,0.5,early_window,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.4896736123916652
RE2-OB,checkoutservice,cpu,2,0.5,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.241010510787387
RE2-OB,checkoutservice,cpu,2,0.5,late_window,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.512446985063618
RE2-OB,checkoutservice,cpu,2,0.5,latency_service_diversity,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.25926608888069336
RE2-OB,checkoutservice,cpu,2,0.5,latency_topk,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.25189009773188276
RE2-OB,checkoutservice,cpu,2,0.5,random,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.49430204683754375
RE2-OB,checkoutservice,cpu,2,0.5,service_aware_abnormality,0.8,0.0,1.0,1.0,0.026841804683038317,0.5007610350076104,0.26166328600405675
RE2-OB,checkoutservice,cpu,2,1.0,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,abnormality_topk,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,coverage_aware,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,early_window,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,late_window,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,latency_service_diversity,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,latency_topk,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,random,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,1.0,service_aware_abnormality,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,0.05,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9134343606334071
RE2-OB,checkoutservice,cpu,3,0.05,abnormality_topk,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9127386830775218
RE2-OB,checkoutservice,cpu,3,0.05,coverage_aware,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9086862396925397
RE2-OB,checkoutservice,cpu,3,0.05,early_window,0.8,0.0,1.0,1.0,0.47692245459326077,0.9500402900886382,0.9504852715818151
RE2-OB,checkoutservice,cpu,3,0.05,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.908773807496777
