dataset,service,fault,instance,budget_type,policy,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,full_anomalous_span_count,kept_trace_count,kept_anomalous_trace_count,kept_anomalous_span_count
RE2-OB,checkoutservice,delay,2,span_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24318,12022,198177,17162,4866,99088
RE2-OB,checkoutservice,delay,2,span_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24318,12022,198177,24318,12022,198177
RE2-OB,checkoutservice,delay,3,trace_fraction,random,0.1,1.0,1.0,1.0,1.0,24620,12277,200441,13571,1228,20683
RE2-OB,checkoutservice,delay,3,trace_fraction,random,0.25,1.0,1.0,1.0,1.0,24620,12277,200441,15412,3069,50110
RE2-OB,checkoutservice,delay,3,trace_fraction,random,0.5,1.0,1.0,1.0,1.0,24620,12277,200441,18481,6138,100431
RE2-OB,checkoutservice,delay,3,trace_fraction,random,1.0,1.0,1.0,1.0,1.0,24620,12277,200441,24620,12277,200441
RE2-OB,checkoutservice,delay,3,trace_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24620,12277,200441,13571,1228,16398
RE2-OB,checkoutservice,delay,3,trace_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24620,12277,200441,15412,3069,49515
RE2-OB,checkoutservice,delay,3,trace_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24620,12277,200441,18481,6138,127415
RE2-OB,checkoutservice,delay,3,trace_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24620,12277,200441,24620,12277,200441
RE2-OB,checkoutservice,delay,3,trace_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24620,12277,200441,13571,1228,16398
RE2-OB,checkoutservice,delay,3,trace_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24620,12277,200441,15412,3069,49515
RE2-OB,checkoutservice,delay,3,trace_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24620,12277,200441,18481,6138,127415
RE2-OB,checkoutservice,delay,3,trace_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24620,12277,200441,24620,12277,200441
RE2-OB,checkoutservice,delay,3,span_fraction,random,0.1,1.0,1.0,1.0,1.0,24620,12277,200441,13544,1201,20044
RE2-OB,checkoutservice,delay,3,span_fraction,random,0.25,1.0,1.0,1.0,1.0,24620,12277,200441,15412,3069,50110
RE2-OB,checkoutservice,delay,3,span_fraction,random,0.5,1.0,1.0,1.0,1.0,24620,12277,200441,18483,6140,100220
RE2-OB,checkoutservice,delay,3,span_fraction,random,1.0,1.0,1.0,1.0,1.0,24620,12277,200441,24620,12277,200441
RE2-OB,checkoutservice,delay,3,span_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24620,12277,200441,14294,1951,20044
RE2-OB,checkoutservice,delay,3,span_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24620,12277,200441,15435,3092,50110
RE2-OB,checkoutservice,delay,3,span_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24620,12277,200441,17381,5038,100220
RE2-OB,checkoutservice,delay,3,span_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24620,12277,200441,24620,12277,200441
RE2-OB,checkoutservice,delay,3,span_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24620,12277,200441,14294,1951,20044
RE2-OB,checkoutservice,delay,3,span_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24620,12277,200441,15435,3092,50110
RE2-OB,checkoutservice,delay,3,span_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24620,12277,200441,17381,5038,100220
RE2-OB,checkoutservice,delay,3,span_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24620,12277,200441,24620,12277,200441
RE2-OB,checkoutservice,disk,1,trace_fraction,random,0.1,1.0,1.0,1.0,1.0,23869,11992,197010,13077,1199,20557
RE2-OB,checkoutservice,disk,1,trace_fraction,random,0.25,1.0,1.0,1.0,1.0,23869,11992,197010,14876,2998,50073
RE2-OB,checkoutservice,disk,1,trace_fraction,random,0.5,1.0,1.0,1.0,1.0,23869,11992,197010,17874,5996,99613
RE2-OB,checkoutservice,disk,1,trace_fraction,random,1.0,1.0,1.0,1.0,1.0,23869,11992,197010,23869,11992,197010
RE2-OB,checkoutservice,disk,1,trace_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,23869,11992,197010,13077,1199,30715
RE2-OB,checkoutservice,disk,1,trace_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,23869,11992,197010,14876,2998,79777
RE2-OB,checkoutservice,disk,1,trace_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,23869,11992,197010,17873,5996,149900
RE2-OB,checkoutservice,disk,1,trace_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,23869,11992,197010,23869,11992,197010
RE2-OB,checkoutservice,disk,1,trace_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,23869,11992,197010,13077,1199,30715
RE2-OB,checkoutservice,disk,1,trace_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,23869,11992,197010,14876,2998,79777
RE2-OB,checkoutservice,disk,1,trace_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,23869,11992,197010,17873,5996,149900
RE2-OB,checkoutservice,disk,1,trace_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,23869,11992,197010,23869,11992,197010
RE2-OB,checkoutservice,disk,1,span_fraction,random,0.1,1.0,1.0,1.0,1.0,23869,11992,197010,13032,1154,19701
RE2-OB,checkoutservice,disk,1,span_fraction,random,0.25,1.0,1.0,1.0,1.0,23869,11992,197010,14831,2953,49252
RE2-OB,checkoutservice,disk,1,span_fraction,random,0.5,1.0,1.0,1.0,1.0,23869,11992,197010,17816,5938,98505
RE2-OB,checkoutservice,disk,1,span_fraction,random,1.0,1.0,1.0,1.0,1.0,23869,11992,197010,23869,11992,197010
RE2-OB,checkoutservice,disk,1,span_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,23869,11992,197010,12630,752,19701
RE2-OB,checkoutservice,disk,1,span_fraction,abnormality_topk,0.25,0.0,1.0,1.0,0.8,23869,11992,197010,13799,1921,49252
RE2-OB,checkoutservice,disk,1,span_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,23869,11992,197010,15612,3734,98505
RE2-OB,checkoutservice,disk,1,span_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,23869,11992,197010,23869,11992,197010
RE2-OB,checkoutservice,disk,1,span_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,23869,11992,197010,12630,752,19701
RE2-OB,checkoutservice,disk,1,span_fraction,service_aware_abnormality,0.25,0.0,1.0,1.0,0.8,23869,11992,197010,13799,1921,49252
RE2-OB,checkoutservice,disk,1,span_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,23869,11992,197010,15612,3734,98505
RE2-OB,checkoutservice,disk,1,span_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,23869,11992,197010,23869,11992,197010
RE2-OB,checkoutservice,disk,2,trace_fraction,random,0.1,1.0,1.0,1.0,1.0,24997,12388,202789,13848,1239,20188
RE2-OB,checkoutservice,disk,2,trace_fraction,random,0.25,1.0,1.0,1.0,1.0,24997,12388,202789,15706,3097,51231
RE2-OB,checkoutservice,disk,2,trace_fraction,random,0.5,1.0,1.0,1.0,1.0,24997,12388,202789,18803,6194,102492
RE2-OB,checkoutservice,disk,2,trace_fraction,random,1.0,1.0,1.0,1.0,1.0,24997,12388,202789,24997,12388,202789
RE2-OB,checkoutservice,disk,2,trace_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24997,12388,202789,13848,1239,28715
RE2-OB,checkoutservice,disk,2,trace_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24997,12388,202789,15706,3097,76656
RE2-OB,checkoutservice,disk,2,trace_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24997,12388,202789,18803,6194,147325
RE2-OB,checkoutservice,disk,2,trace_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24997,12388,202789,24997,12388,202789
RE2-OB,checkoutservice,disk,2,trace_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24997,12388,202789,13848,1239,28715
RE2-OB,checkoutservice,disk,2,trace_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24997,12388,202789,15706,3097,76656
RE2-OB,checkoutservice,disk,2,trace_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24997,12388,202789,18803,6194,147325
RE2-OB,checkoutservice,disk,2,trace_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24997,12388,202789,24997,12388,202789
RE2-OB,checkoutservice,disk,2,span_fraction,random,0.1,1.0,1.0,1.0,1.0,24997,12388,202789,13856,1247,20279
