policy,budget,anchor_corruption,repetition,actual_anchor_corruption,avg_at_5,top1,top3,top5
anchored_random_rest,0.25,0.2,1,0.1943820224719101,0.6957303370786517,0.29775280898876405,0.848314606741573,0.8943820224719101
anchored_random_rest,0.25,0.2,2,0.21235955056179776,0.6808988764044944,0.27640449438202247,0.8292134831460675,0.8730337078651685
anchored_random_rest,0.25,0.2,3,0.19101123595505617,0.698876404494382,0.27191011235955054,0.8584269662921349,0.895505617977528
anchored_random_rest,0.25,0.2,4,0.20561797752808988,0.6970786516853933,0.30786516853932583,0.8471910112359551,0.8831460674157303
anchored_random_rest,0.25,0.3,0,0.30112359550561796,0.6364044943820225,0.26741573033707866,0.7719101123595505,0.8348314606741573
anchored_random_rest,0.25,0.3,1,0.31797752808988766,0.6337078651685394,0.26179775280898876,0.7595505617977528,0.8303370786516854
anchored_random_rest,0.25,0.3,2,0.27640449438202247,0.6467415730337078,0.2606741573033708,0.7865168539325843,0.8471910112359551
anchored_random_rest,0.25,0.3,3,0.302247191011236,0.6341573033707866,0.251685393258427,0.7674157303370787,0.8280898876404494
anchored_random_rest,0.25,0.3,4,0.31573033707865167,0.6373033707865169,0.2786516853932584,0.7662921348314606,0.8292134831460675
anchored_random_rest,0.25,0.4,0,0.401123595505618,0.5817977528089888,0.24719101123595505,0.6842696629213483,0.7775280898876404
anchored_random_rest,0.25,0.4,1,0.39662921348314606,0.5707865168539326,0.24382022471910111,0.6730337078651686,0.7696629213483146
anchored_random_rest,0.25,0.4,2,0.36629213483146067,0.5858426966292135,0.22359550561797753,0.7056179775280899,0.7842696629213484
anchored_random_rest,0.25,0.4,3,0.401123595505618,0.5791011235955056,0.21235955056179776,0.6932584269662921,0.7786516853932585
anchored_random_rest,0.25,0.4,4,0.4157303370786517,0.5802247191011236,0.24157303370786518,0.6932584269662921,0.7674157303370787
anchored_random_rest,0.25,0.5,0,0.5202247191011236,0.511685393258427,0.21235955056179776,0.5865168539325842,0.7112359550561798
anchored_random_rest,0.25,0.5,1,0.5022471910112359,0.522247191011236,0.22134831460674156,0.604494382022472,0.7112359550561798
anchored_random_rest,0.25,0.5,2,0.4752808988764045,0.5269662921348315,0.19550561797752808,0.6213483146067416,0.7179775280898877
anchored_random_rest,0.25,0.5,3,0.5146067415730337,0.5217977528089888,0.19662921348314608,0.6089887640449438,0.7247191011235955
anchored_random_rest,0.25,0.5,4,0.47191011235955055,0.5447191011235956,0.23707865168539327,0.6393258426966292,0.7280898876404495
anchored_random_rest,0.5,0.0,0,0,0.6220224719101124,0.21348314606741572,0.6359550561797753,1
anchored_random_rest,0.5,0.0,1,0,0.6157303370786517,0.2157303370786517,0.6325842696629214,1
anchored_random_rest,0.5,0.0,2,0,0.6197752808988765,0.21797752808988763,0.6348314606741573,1
anchored_random_rest,0.5,0.0,3,0,0.6269662921348315,0.21910112359550563,0.648314606741573,1
anchored_random_rest,0.5,0.0,4,0,0.6159550561797753,0.22247191011235956,0.6146067415730337,1
anchored_random_rest,0.5,0.1,0,0.09438202247191012,0.5889887640449438,0.20561797752808988,0.6022471910112359,0.9449438202247191
anchored_random_rest,0.5,0.1,1,0.10224719101123596,0.578876404494382,0.20112359550561798,0.5932584269662922,0.9449438202247191
anchored_random_rest,0.5,0.1,2,0.09887640449438202,0.5779775280898877,0.20224719101123595,0.5865168539325842,0.9393258426966292
anchored_random_rest,0.5,0.1,3,0.1101123595505618,0.592808988764045,0.20674157303370785,0.6123595505617978,0.9483146067415731
anchored_random_rest,0.5,0.1,4,0.10337078651685393,0.58,0.20898876404494382,0.5786516853932584,0.9438202247191011
anchored_random_rest,0.5,0.2,0,0.2,0.5537078651685393,0.18764044943820224,0.5696629213483146,0.8853932584269663
anchored_random_rest,0.5,0.2,1,0.1943820224719101,0.5361797752808989,0.19101123595505617,0.5516853932584269,0.8752808988764045
anchored_random_rest,0.5,0.2,2,0.21235955056179776,0.5350561797752809,0.18089887640449437,0.5438202247191011,0.8685393258426967
anchored_random_rest,0.5,0.2,3,0.19101123595505617,0.5748314606741574,0.20786516853932585,0.5921348314606741,0.9089887640449438
anchored_random_rest,0.5,0.2,4,0.20561797752808988,0.5408988764044944,0.19887640449438201,0.5415730337078651,0.8775280898876404
anchored_random_rest,0.5,0.3,0,0.30112359550561796,0.5175280898876404,0.17752808988764046,0.5292134831460674,0.8280898876404494
anchored_random_rest,0.5,0.3,1,0.31797752808988766,0.510561797752809,0.18202247191011237,0.5258426966292135,0.8258426966292135
anchored_random_rest,0.5,0.3,2,0.27640449438202247,0.522247191011236,0.18314606741573033,0.5359550561797752,0.8471910112359551
anchored_random_rest,0.5,0.3,3,0.302247191011236,0.5238202247191012,0.17640449438202246,0.5393258426966292,0.8393258426966292
anchored_random_rest,0.5,0.3,4,0.31573033707865167,0.5053932584269663,0.17865168539325843,0.5067415730337078,0.8168539325842696
anchored_random_rest,0.5,0.4,0,0.401123595505618,0.48,0.17752808988764046,0.4842696629213483,0.7674157303370787
anchored_random_rest,0.5,0.4,1,0.39662921348314606,0.4802247191011236,0.17303370786516853,0.5078651685393258,0.7707865168539326
anchored_random_rest,0.5,0.4,2,0.36629213483146067,0.48651685393258426,0.16179775280898875,0.49550561797752807,0.797752808988764
anchored_random_rest,0.5,0.4,3,0.401123595505618,0.5,0.18089887640449437,0.5146067415730337,0.7887640449438202
anchored_random_rest,0.5,0.4,4,0.4157303370786517,0.469438202247191,0.16179775280898875,0.4696629213483146,0.7730337078651686
anchored_random_rest,0.5,0.5,0,0.5202247191011236,0.43887640449438203,0.1550561797752809,0.45056179775280897,0.7078651685393258
anchored_random_rest,0.5,0.5,1,0.5022471910112359,0.4451685393258427,0.16292134831460675,0.45280898876404496,0.7224719101123596
anchored_random_rest,0.5,0.5,2,0.4752808988764045,0.44,0.15955056179775282,0.4460674157303371,0.7089887640449438
anchored_random_rest,0.5,0.5,3,0.5146067415730337,0.4521348314606742,0.16741573033707866,0.4606741573033708,0.7146067415730337
anchored_random_rest,0.5,0.5,4,0.47191011235955055,0.45325842696629215,0.15730337078651685,0.4584269662921348,0.7404494382022472
full_reference,0.25,0.0,0,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.0,1,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.0,2,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.0,3,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.0,4,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.1,0,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.1,1,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.1,2,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.25,0.1,3,0,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
