policy,dataset,fault,budget,cases,top1,top3,top5,avg5,kept_anomalous_mean,full_anomalous_mean,kept_trace_mean,full_trace_mean,anom_reduction,total_reduction
latency_topk,RE2-OB,socket,0.1,15,0.0,0.7333333333333333,1.0,0.64,1180.2,11802.2,13594.133333333333,24216.133333333335,0.900001694599312,0.4386331977029089
latency_topk,RE2-OB,socket,0.25,15,0.06666666666666667,0.7333333333333333,1.0,0.6533333333333334,2950.6,11802.2,15364.533333333333,24216.133333333335,0.74999576350172,0.3655249117668111
latency_topk,RE2-OB,socket,0.5,15,0.13333333333333333,0.7333333333333333,0.9333333333333333,0.6533333333333334,5901.133333333333,11802.2,18315.066666666666,24216.133333333335,0.49999717566781343,0.24368327451120753
latency_topk,RE2-OB,socket,1.0,15,0.13333333333333333,0.8,1.0,0.6933333333333334,11802.2,11802.2,24216.133333333335,24216.133333333335,0.0,0.0
latency_topk,RE2-TT,cpu,0.1,15,0.8666666666666667,1.0,1.0,0.9733333333333333,324.4,3244.4,3670.5333333333333,6590.533333333334,0.9000123289360128,0.4430597422565701
latency_topk,RE2-TT,cpu,0.25,15,0.8666666666666667,1.0,1.0,0.9733333333333333,811.1333333333333,3244.4,4157.266666666666,6590.533333333334,0.7499897258866559,0.36920633636124545
latency_topk,RE2-TT,cpu,0.5,15,0.8666666666666667,1.0,1.0,0.9733333333333333,1622.3333333333333,3244.4,4968.466666666666,6590.533333333334,0.499958903546624,0.2461206983754477
latency_topk,RE2-TT,cpu,1.0,15,0.8666666666666667,1.0,1.0,0.9733333333333333,3244.4,3244.4,6590.533333333334,6590.533333333334,0.0,0.0
latency_topk,RE2-TT,delay,0.1,15,1.0,1.0,1.0,1.0,265.0,2651.0666666666666,3591.133333333333,5977.2,0.9000402353769552,0.399194717705057
latency_topk,RE2-TT,delay,0.25,15,1.0,1.0,1.0,1.0,662.8,2651.0666666666666,3988.9333333333334,5977.2,0.7499874264447015,0.3326418166811662
latency_topk,RE2-TT,delay,0.5,15,1.0,1.0,1.0,1.0,1325.5333333333333,2651.0666666666666,4651.666666666667,5977.2,0.5,0.22176492895224065
latency_topk,RE2-TT,delay,1.0,15,1.0,1.0,1.0,1.0,2651.0666666666666,2651.0666666666666,5977.2,5977.2,0.0,0.0
latency_topk,RE2-TT,disk,0.1,15,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.8266666666666667,322.2,3222.6666666666665,3596.8,6497.266666666666,0.9000206868018205,0.44641336356826966
latency_topk,RE2-TT,disk,0.25,15,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.8266666666666667,805.8666666666667,3222.6666666666665,4080.4666666666667,6497.266666666666,0.7499379395945387,0.37197180352763726
latency_topk,RE2-TT,disk,0.5,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,1611.5333333333333,3222.6666666666665,4886.133333333333,6497.266666666666,0.4999379395945387,0.24797094162673539
latency_topk,RE2-TT,disk,1.0,15,0.8,0.9333333333333333,1.0,0.92,3222.6666666666665,3222.6666666666665,6497.266666666666,6497.266666666666,0.0,0.0
latency_topk,RE2-TT,loss,0.1,15,0.7333333333333333,1.0,1.0,0.92,323.8,3237.3333333333335,3738.133333333333,6651.666666666667,0.8999794069192751,0.43801553495364576
latency_topk,RE2-TT,loss,0.25,15,0.8666666666666667,1.0,1.0,0.9733333333333333,809.3333333333334,3237.3333333333335,4223.666666666667,6651.666666666667,0.75,0.3650212979203207
latency_topk,RE2-TT,loss,0.5,15,0.8,1.0,1.0,0.9333333333333333,1618.7333333333333,3237.3333333333335,5033.066666666667,6651.666666666667,0.4999794069192751,0.2433375093961414
latency_topk,RE2-TT,loss,1.0,15,0.8,1.0,1.0,0.9333333333333333,3237.3333333333335,3237.3333333333335,6651.666666666667,6651.666666666667,0.0,0.0
latency_topk,RE2-TT,mem,0.1,15,0.8,1.0,1.0,0.9600000000000001,309.6,3096.0666666666666,3520.6666666666665,6307.133333333333,0.9000021532697401,0.4417960616022071
latency_topk,RE2-TT,mem,0.25,15,0.7333333333333333,1.0,1.0,0.9466666666666667,774.0,3096.0666666666666,3985.0666666666666,6307.133333333333,0.7500053831743503,0.36816514634223685
latency_topk,RE2-TT,mem,0.5,15,0.8,1.0,1.0,0.9600000000000001,1548.0,3096.0666666666666,4759.066666666667,6307.133333333333,0.5000107663487006,0.24544695424228646
latency_topk,RE2-TT,mem,1.0,15,0.8,1.0,1.0,0.9600000000000001,3096.0666666666666,3096.0666666666666,6307.133333333333,6307.133333333333,0.0,0.0
