case_id,budget,fold,model,rank,top1,top3,top5,avg_at_5
mobservice2_qr_expired_1626607755,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1626763751,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1626885208,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1626999471,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1625420467,0.25,1,deterministic_formula,3,0,1,1,0.6
redisservice1_memory_1625473678,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1625816205,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1626014952,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice1_memory_1626851723,0.25,1,deterministic_formula,3,0,1,1,0.6
redisservice1_memory_1627002068,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1627213476,0.25,1,deterministic_formula,3,0,1,1,0.6
redisservice1_memory_1627512202,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_errno111_1626751801,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice2_memory_1625324488,0.25,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1625493529,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice2_memory_1625620800,0.25,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1625692590,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice2_memory_1625752669,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1626319731,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1626375654,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice2_memory_1626410429,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1627022600,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1627115108,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1627293263,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1627629714,0.25,1,deterministic_formula,1,1,1,1,1.0
redisservice2_memory_1627745580,0.25,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1627748697,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice1_file_move_1625933400,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice1_file_move_1626351000,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice1_file_move_1626797400,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice1_file_move_1626840600,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice1_memory_1625546136,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice1_memory_1626198054,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice1_memory_1626434165,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1626881411,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1627100569,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1627381040,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1627427700,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1627539698,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice1_memory_1627724870,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_file_move_1625501400,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice2_file_move_1626163800,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice2_file_move_1626869400,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_file_move_1627071001,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice2_memory_1625212312,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1625367620,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_memory_1625896703,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_memory_1626097343,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1626104516,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_memory_1626204647,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1626374035,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1626506288,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1627085325,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1627119052,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1627372277,0.25,1,deterministic_formula,3,0,1,1,0.6
webservice2_memory_1627459375,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_memory_1627546421,0.25,1,deterministic_formula,2,0,1,1,0.8
webservice2_memory_1627570264,0.25,1,deterministic_formula,1,1,1,1,1.0
webservice2_memory_1627752181,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice1_cpu_1627475651,0.5,1,deterministic_formula,4,0,0,1,0.4
