dataset,service,fault,instance,policy,budget,top1,top3,top5,avg5,full_trace_count,kept_trace_count,full_anomalous_trace_count,kept_anomalous_trace_count
RE2-OB,checkoutservice,mem,1,early_window,1.0,0.0,1.0,1.0,0.8,24772,24772,12308,12308
RE2-OB,checkoutservice,mem,1,late_window,0.1,0.0,1.0,1.0,0.8,24772,13695,12308,1231
RE2-OB,checkoutservice,mem,1,late_window,0.25,0.0,1.0,1.0,0.8,24772,15541,12308,3077
RE2-OB,checkoutservice,mem,1,late_window,0.5,0.0,1.0,1.0,0.8,24772,18618,12308,6154
RE2-OB,checkoutservice,mem,1,late_window,1.0,0.0,1.0,1.0,0.8,24772,24772,12308,12308
RE2-OB,checkoutservice,mem,2,random,0.1,1.0,1.0,1.0,1.0,19991,13147,7604,760
RE2-OB,checkoutservice,mem,2,random,0.25,0.0,1.0,1.0,0.8,19991,14288,7604,1901
RE2-OB,checkoutservice,mem,2,random,0.5,0.0,1.0,1.0,0.8,19991,16189,7604,3802
RE2-OB,checkoutservice,mem,2,random,1.0,0.0,1.0,1.0,0.8,19991,19991,7604,7604
RE2-OB,checkoutservice,mem,2,early_window,0.1,0.0,1.0,1.0,0.8,19991,13147,7604,760
RE2-OB,checkoutservice,mem,2,early_window,0.25,0.0,1.0,1.0,0.8,19991,14288,7604,1901
RE2-OB,checkoutservice,mem,2,early_window,0.5,0.0,1.0,1.0,0.8,19991,16189,7604,3802
RE2-OB,checkoutservice,mem,2,early_window,1.0,0.0,1.0,1.0,0.8,19991,19991,7604,7604
RE2-OB,checkoutservice,mem,2,late_window,0.1,0.0,1.0,1.0,0.6,19991,13147,7604,760
RE2-OB,checkoutservice,mem,2,late_window,0.25,0.0,1.0,1.0,0.6,19991,14288,7604,1901
RE2-OB,checkoutservice,mem,2,late_window,0.5,0.0,1.0,1.0,0.6,19991,16189,7604,3802
RE2-OB,checkoutservice,mem,2,late_window,1.0,0.0,1.0,1.0,0.8,19991,19991,7604,7604
RE2-OB,checkoutservice,mem,3,random,0.1,1.0,1.0,1.0,1.0,24716,13679,12263,1226
RE2-OB,checkoutservice,mem,3,random,0.25,1.0,1.0,1.0,1.0,24716,15519,12263,3066
RE2-OB,checkoutservice,mem,3,random,0.5,0.0,1.0,1.0,0.8,24716,18585,12263,6132
RE2-OB,checkoutservice,mem,3,random,1.0,0.0,1.0,1.0,0.8,24716,24716,12263,12263
RE2-OB,checkoutservice,mem,3,early_window,0.1,0.0,1.0,1.0,0.8,24716,13679,12263,1226
RE2-OB,checkoutservice,mem,3,early_window,0.25,0.0,1.0,1.0,0.8,24716,15519,12263,3066
RE2-OB,checkoutservice,mem,3,early_window,0.5,0.0,1.0,1.0,0.8,24716,18585,12263,6132
RE2-OB,checkoutservice,mem,3,early_window,1.0,0.0,1.0,1.0,0.8,24716,24716,12263,12263
RE2-OB,checkoutservice,mem,3,late_window,0.1,0.0,1.0,1.0,0.8,24716,13679,12263,1226
RE2-OB,checkoutservice,mem,3,late_window,0.25,0.0,1.0,1.0,0.8,24716,15519,12263,3066
RE2-OB,checkoutservice,mem,3,late_window,0.5,1.0,1.0,1.0,1.0,24716,18585,12263,6132
RE2-OB,checkoutservice,mem,3,late_window,1.0,0.0,1.0,1.0,0.8,24716,24716,12263,12263
RE2-OB,checkoutservice,socket,1,random,0.1,1.0,1.0,1.0,1.0,24642,13688,12171,1217
RE2-OB,checkoutservice,socket,1,random,0.25,1.0,1.0,1.0,1.0,24642,15514,12171,3043
RE2-OB,checkoutservice,socket,1,random,0.5,1.0,1.0,1.0,1.0,24642,18557,12171,6086
RE2-OB,checkoutservice,socket,1,random,1.0,1.0,1.0,1.0,1.0,24642,24642,12171,12171
RE2-OB,checkoutservice,socket,1,early_window,0.1,1.0,1.0,1.0,1.0,24642,13688,12171,1217
RE2-OB,checkoutservice,socket,1,early_window,0.25,1.0,1.0,1.0,1.0,24642,15514,12171,3043
RE2-OB,checkoutservice,socket,1,early_window,0.5,1.0,1.0,1.0,1.0,24642,18557,12171,6086
RE2-OB,checkoutservice,socket,1,early_window,1.0,1.0,1.0,1.0,1.0,24642,24642,12171,12171
RE2-OB,checkoutservice,socket,1,late_window,0.1,0.0,1.0,1.0,0.8,24642,13688,12171,1217
RE2-OB,checkoutservice,socket,1,late_window,0.25,0.0,1.0,1.0,0.8,24642,15514,12171,3043
RE2-OB,checkoutservice,socket,1,late_window,0.5,0.0,1.0,1.0,0.8,24642,18557,12171,6086
RE2-OB,checkoutservice,socket,1,late_window,1.0,1.0,1.0,1.0,1.0,24642,24642,12171,12171
RE2-OB,checkoutservice,socket,2,random,0.1,1.0,1.0,1.0,1.0,24729,13785,12160,1216
RE2-OB,checkoutservice,socket,2,random,0.25,0.0,1.0,1.0,0.8,24729,15609,12160,3040
RE2-OB,checkoutservice,socket,2,random,0.5,0.0,1.0,1.0,0.8,24729,18649,12160,6080
RE2-OB,checkoutservice,socket,2,random,1.0,0.0,1.0,1.0,0.8,24729,24729,12160,12160
RE2-OB,checkoutservice,socket,2,early_window,0.1,1.0,1.0,1.0,1.0,24729,13785,12160,1216
RE2-OB,checkoutservice,socket,2,early_window,0.25,1.0,1.0,1.0,1.0,24729,15609,12160,3040
RE2-OB,checkoutservice,socket,2,early_window,0.5,1.0,1.0,1.0,1.0,24729,18649,12160,6080
RE2-OB,checkoutservice,socket,2,early_window,1.0,0.0,1.0,1.0,0.8,24729,24729,12160,12160
