dataset,fault,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,delay,0.25,2035,15,0.2,0.4,0.9333333333333333,0.56,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.35,2026,15,0.2,0.5333333333333333,0.8666666666666667,0.56,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2027,15,0.2,0.4,0.8666666666666667,0.5466666666666667,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2028,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2029,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2030,15,0.2,0.4666666666666667,0.8666666666666667,0.5466666666666667,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2031,15,0.2,0.4666666666666667,1.0,0.5866666666666667,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2032,15,0.2,0.4666666666666667,1.0,0.5866666666666667,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2033,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2034,15,0.2,0.4,1.0,0.5733333333333334,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.35,2035,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.311686361833692,0.6499909867654651
RE2-OB,delay,0.5,2026,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2027,15,0.2,0.4,1.0,0.56,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2028,15,0.2,0.4,0.9333333333333333,0.56,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2029,15,0.2,0.4666666666666667,1.0,0.6,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2030,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2031,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2032,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2033,15,0.2,0.4,0.9333333333333333,0.56,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2034,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.5,2035,15,0.2,0.4,0.8666666666666667,0.5333333333333333,0.23976311713974857,0.5000012398733285
RE2-OB,delay,0.75,2026,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2027,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2028,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2029,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2030,15,0.2,0.4,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
