dataset,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,0.75,2034,90,0.12222222222222222,0.6444444444444445,0.9666666666666667,0.6222222222222222,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2035,90,0.13333333333333333,0.6222222222222222,0.9777777777777777,0.6288888888888889,0.11765835710769201,0.24999938137383906
RE2-OB,1.0,2026,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2027,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2028,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2029,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2030,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2031,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2032,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2033,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2034,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-OB,1.0,2035,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
RE2-TT,0.05,2026,90,0.8222222222222222,0.9666666666666667,0.9777777777777777,0.9355555555555556,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2027,90,0.8222222222222222,0.9777777777777777,0.9888888888888889,0.9466666666666667,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2028,90,0.8444444444444444,0.9777777777777777,0.9888888888888889,0.9533333333333333,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2029,90,0.8222222222222222,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2030,90,0.8666666666666667,0.9666666666666667,0.9888888888888889,0.9555555555555556,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2031,90,0.8222222222222222,0.9777777777777777,0.9777777777777777,0.9444444444444444,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2032,90,0.8333333333333334,0.9555555555555556,0.9777777777777777,0.9355555555555556,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2033,90,0.8222222222222222,0.9888888888888889,0.9888888888888889,0.9555555555555556,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2034,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.46307471737882366,0.9500036357053463
RE2-TT,0.05,2035,90,0.7888888888888889,0.9555555555555556,0.9555555555555556,0.9222222222222223,0.46307471737882366,0.9500036357053463
RE2-TT,0.1,2026,90,0.8555555555555555,0.9777777777777777,0.9777777777777777,0.951111111111111,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2027,90,0.8444444444444444,0.9777777777777777,0.9777777777777777,0.951111111111111,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2028,90,0.8333333333333334,0.9777777777777777,0.9888888888888889,0.948888888888889,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2029,90,0.8444444444444444,0.9888888888888889,0.9888888888888889,0.9600000000000001,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2030,90,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.9377777777777778,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2031,90,0.8111111111111111,0.9888888888888889,1.0,0.948888888888889,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2032,90,0.8666666666666667,0.9777777777777777,0.9888888888888889,0.9555555555555556,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2033,90,0.8444444444444444,0.9666666666666667,0.9888888888888889,0.951111111111111,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2034,90,0.8222222222222222,0.9777777777777777,1.0,0.951111111111111,0.43870816053494877,0.9000124047185504
RE2-TT,0.1,2035,90,0.8444444444444444,0.9777777777777777,1.0,0.9577777777777778,0.43870816053494877,0.9000124047185504
RE2-TT,0.15,2026,90,0.8333333333333334,0.9777777777777777,1.0,0.9533333333333333,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2027,90,0.8444444444444444,0.9777777777777777,0.9777777777777777,0.948888888888889,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2028,90,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.9666666666666667,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2029,90,0.8444444444444444,0.9777777777777777,0.9777777777777777,0.948888888888889,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2030,90,0.8222222222222222,0.9777777777777777,1.0,0.948888888888889,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2031,90,0.8333333333333334,0.9777777777777777,1.0,0.948888888888889,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2032,90,0.8111111111111111,0.9777777777777777,0.9888888888888889,0.9444444444444444,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2033,90,0.8555555555555555,0.9666666666666667,0.9777777777777777,0.9466666666666667,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2034,90,0.8444444444444444,1.0,1.0,0.9666666666666667,0.41433174980440324,0.8500063868736342
RE2-TT,0.15,2035,90,0.8555555555555555,0.9777777777777777,0.9777777777777777,0.951111111111111,0.41433174980440324,0.8500063868736342
RE2-TT,0.2,2026,90,0.8333333333333334,0.9777777777777777,0.9888888888888889,0.9533333333333333,0.3899552815401445,0.7999898170679731
RE2-TT,0.2,2027,90,0.8555555555555555,0.9777777777777777,0.9888888888888889,0.9533333333333333,0.3899552815401445,0.7999898170679731
RE2-TT,0.2,2028,90,0.8111111111111111,0.9777777777777777,0.9888888888888889,0.9422222222222222,0.3899552815401445,0.7999898170679731
