dataset,fault,budget,seeds,cases_per_seed,top1_mean,top3_mean,top5_mean,avg5_mean,avg5_std,total_reduction_mean,post_injection_reduction_mean,avg5_ci95
RE2-OB,socket,0.5,10,15.0,0.15333333333333335,0.76,0.9800000000000001,0.6746666666666667,0.021953936062628403,0.24257185595240127,0.49999952464764313,0.01360719054646849
RE2-OB,socket,0.75,10,15.0,0.15333333333333335,0.78,1.0,0.6933333333333334,0.00888888888888887,0.1212882460972641,0.2500029892756404,0.005509390412382231
RE2-OB,socket,1.0,10,15.0,0.13333333333333333,0.8,1.0,0.6933333333333334,0.0,0.0,0.0,0.0
RE2-TT,cpu,0.05,10,15.0,0.8533333333333333,1.0,1.0,0.9693333333333334,0.012649110640673497,0.4674568352069561,0.9499857158990699,0.007839999999999986
RE2-TT,cpu,0.1,10,15.0,0.8333333333333334,1.0,1.0,0.9666666666666668,0.00942809041582059,0.442866202604966,0.9000126232134942,0.005843590981199422
RE2-TT,cpu,0.15,10,15.0,0.86,1.0,1.0,0.9720000000000001,0.009838197164968266,0.41825543801652876,0.8499956588648502,0.006097777777777763
RE2-TT,cpu,0.2,10,15.0,0.8733333333333334,1.0,1.0,0.9746666666666666,0.011674600476945482,0.39364596926090417,0.7999848830169959,0.007235992342808617
RE2-TT,cpu,0.25,10,15.0,0.8533333333333333,1.0,1.0,0.9706666666666667,0.010517475169954852,0.36904502063269706,0.7499891483503079,0.006518798647179476
RE2-TT,cpu,0.35,10,15.0,0.8800000000000001,1.0,1.0,0.976,0.008432740427115675,0.31984436211376016,0.6500011112503622,0.005226666666666664
RE2-TT,cpu,0.5,10,15.0,0.8733333333333334,1.0,1.0,0.9746666666666666,0.007568616162633934,0.24601313497711214,0.4999586973230003,0.004691076898659377
RE2-TT,cpu,0.75,10,15.0,0.8733333333333334,1.0,1.0,0.9746666666666666,0.004216370213557863,0.12302206379770428,0.250010851649692,0.0026133333333333477
RE2-TT,cpu,1.0,10,15.0,0.8666666666666668,1.0,1.0,0.9733333333333333,0.0,0.0,0.0,0.0
RE2-TT,delay,0.05,10,15.0,1.0,1.0,1.0,1.0,0.0,0.41556868920079887,0.9500610489873939,0.0
RE2-TT,delay,0.1,10,15.0,1.0,1.0,1.0,1.0,0.0,0.3936923412874777,0.9000547468054313,0.0
RE2-TT,delay,0.15,10,15.0,1.0,1.0,1.0,1.0,0.0,0.37182461308032855,0.8500612181472216,0.0
RE2-TT,delay,0.2,10,15.0,1.0,1.0,1.0,1.0,0.0,0.3499088308366122,0.7999410602119459,0.0
RE2-TT,delay,0.25,10,15.0,1.0,1.0,1.0,1.0,0.0,0.32805359407346096,0.7499813424704256,0.0
RE2-TT,delay,0.35,10,15.0,1.0,1.0,1.0,1.0,0.0,0.2843312936196159,0.650030013934242,0.0
RE2-TT,delay,0.5,10,15.0,1.0,1.0,1.0,1.0,0.0,0.21870402393872337,0.49998345166976527,0.0
RE2-TT,delay,0.75,10,15.0,1.0,1.0,1.0,1.0,0.0,0.10935995101261335,0.25001865752957436,0.0
RE2-TT,delay,1.0,10,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
RE2-TT,disk,0.05,10,15.0,0.6733333333333332,0.9266666666666667,0.9400000000000001,0.8733333333333334,0.041335722750529456,0.47113492697757503,0.9499587111228875,0.025620146393698973
RE2-TT,disk,0.1,10,15.0,0.7533333333333333,0.9266666666666667,0.96,0.8973333333333333,0.028144249242644578,0.4463676904471262,0.9000199757412325,0.01744398640587625
RE2-TT,disk,0.15,10,15.0,0.76,0.9466666666666667,0.96,0.9133333333333333,0.026851213274654652,0.4215595929369226,0.8499989134013368,0.016642554409823977
RE2-TT,disk,0.2,10,15.0,0.7666666666666667,0.9266666666666667,0.9400000000000001,0.8986666666666666,0.019064542746246423,0.3967624667090116,0.7999999361546748,0.011816326015044915
RE2-TT,disk,0.25,10,15.0,0.76,0.9466666666666667,0.9666666666666666,0.916,0.03145837932299804,0.37193401968891066,0.7499376960938203,0.019498105511011034
RE2-TT,disk,0.35,10,15.0,0.7733333333333333,0.9533333333333334,0.9733333333333334,0.9213333333333333,0.022177733244221627,0.3223588039091624,0.6499785181973629,0.013745901476709625
RE2-TT,disk,0.5,10,15.0,0.7866666666666667,0.9400000000000001,0.96,0.9133333333333333,0.014401645996461916,0.24794542980960346,0.4999371857344924,0.008926232667235919
RE2-TT,disk,0.75,10,15.0,0.7733333333333333,0.9333333333333333,0.9733333333333334,0.9093333333333333,0.005621826951410491,0.12401906465501215,0.2500623039061796,0.0034844444444444684
